,Data,value,capodanno,epifania,pasqua,ferragosto,natale,ultimodellanno,sabato,domenica,vigilia,santostefano,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,2010-01-01,41.651044,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2010-01-02,131.286604,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2010-01-03,117.388117,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,2010-01-04,116.46128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,2010-01-05,123.823765,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,2010-01-06,104.285555,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,2010-01-07,227.972179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,2010-01-08,190.955956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,2010-01-09,144.632818,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,2010-01-10,110.763409,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,2010-01-11,175.913299,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,2010-01-12,162.546184,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2010-01-13,145.120429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,2010-01-14,144.649713,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,2010-01-15,152.62516599999995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,2010-01-16,112.59012,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
