Data;value
2010-01-01;41.651044
2010-01-02;131.286604
2010-01-03;117.388117
2010-01-04;116.46128
2010-01-05;123.823765
2010-01-06;104.285555
2010-01-07;227.972179
2010-01-08;190.955956
2010-01-09;144.632818
2010-01-10;110.763409
2010-01-11;175.913299
2010-01-12;162.546184
2010-01-13;145.120429
2010-01-14;144.649713
2010-01-15;152.625166
2010-01-16;112.59012
2010-01-17;96.006014
2010-01-18;130.464809
2010-01-19;135.666256
2010-01-20;144.797038
2010-01-21;140.312431
2010-01-22;134.976377
2010-01-23;112.657485
2010-01-24;88.68394
2010-01-25;120.638688
2010-01-26;123.070932
2010-01-27;136.875664
2010-01-28;136.40473
2010-01-29;131.601254
2010-01-30;113.154061
2010-01-31;83.629398
2010-02-01;148.523645
2010-02-02;132.581751
2010-02-03;125.859367
2010-02-04;130.928032
2010-02-05;147.501913
2010-02-06;119.211157
2010-02-07;100.810889
2010-02-08;129.047368
2010-02-09;133.631233
2010-02-10;133.2988
2010-02-11;149.920332
2010-02-12;133.86186
2010-02-13;124.973234
2010-02-14;118.762127
2010-02-15;148.031344
2010-02-16;145.905876
2010-02-17;134.587865
2010-02-18;139.211125
2010-02-19;134.685092
2010-02-20;115.226749
2010-02-21;103.408196
2010-02-22;125.863532
2010-02-23;122.144474
2010-02-24;140.784143
2010-02-25;133.449539
2010-02-26;148.713592
2010-02-27;104.886137
2010-02-28;91.276588
2010-03-01;122.951915
2010-03-02;147.164273
2010-03-03;145.818317
2010-03-04;136.323405
2010-03-05;119.840007
2010-03-06;131.336893
2010-03-07;105.310055
2010-03-08;128.93699
2010-03-09;135.84345
2010-03-10;155.075077
2010-03-11;182.340483
2010-03-12;148.850924
2010-03-13;128.271874
2010-03-14;112.533955
2010-03-15;176.936491
2010-03-16;153.638083
2010-03-17;133.925845
2010-03-18;142.268053
2010-03-19;129.503491
2010-03-20;143.512884
2010-03-21;116.958781
2010-03-22;133.507098
2010-03-23;137.197778
2010-03-24;125.321316
2010-03-25;119.888958
2010-03-26;130.54
2010-03-27;134.666187
2010-03-28;114.215155
2010-03-29;115.149217
2010-03-30;135.409251
2010-03-31;113.181685
2010-04-01;141.457408
2010-04-02;110.166763
2010-04-03;138.518936
2010-04-04;114.660058
2010-04-05;69.717735
2010-04-06;145.376606
2010-04-07;144.520892
2010-04-08;165.861902
2010-04-09;124.404201
2010-04-10;140.399989
2010-04-11;122.655303
2010-04-12;136.820172
2010-04-13;124.520986
2010-04-14;151.767257
2010-04-15;150.438833
2010-04-16;149.491651
2010-04-17;120.090753
2010-04-18;145.084
2010-04-19;126.993623
2010-04-20;115.222406
2010-04-21;129.877508
2010-04-22;125.445961
2010-04-23;130.680482
2010-04-24;133.727393
2010-04-25;83.816693
2010-04-26;124.319828
2010-04-27;151.230014
2010-04-28;124.248569
2010-04-29;140.14677
2010-04-30;122.492533
2010-05-01;68.098212
2010-05-02;114.553891
2010-05-03;113.301829
2010-05-04;118.513683
2010-05-05;141.778622
2010-05-06;115.136916
2010-05-07;140.621564
2010-05-08;130.404275
2010-05-09;101.200102
2010-05-10;124.668932
2010-05-11;118.715108
2010-05-12;122.366156
2010-05-13;111.069416
2010-05-14;121.991727
2010-05-15;124.293497
2010-05-16;81.250589
2010-05-17;114.74986
2010-05-18;127.202106
2010-05-19;129.887635
2010-05-20;144.180012
2010-05-21;122.320212
2010-05-22;107.32621
2010-05-23;74.370356
2010-05-24;120.569283
2010-05-25;146.330236
2010-05-26;142.014435
2010-05-27;146.814992
2010-05-28;122.313292
2010-05-29;91.256338
2010-05-30;112.683316
2010-05-31;140.221887
2010-06-01;169.970856
2010-06-02;86.337264
2010-06-03;112.454174
2010-06-04;114.757525
2010-06-05;174.356437
2010-06-06;118.287619
2010-06-07;120.199443
2010-06-08;116.059764
2010-06-09;124.556018
2010-06-10;131.173769
2010-06-11;145.006956
2010-06-12;155.659857
2010-06-13;96.318192
2010-06-14;136.495426
2010-06-15;135.744813
2010-06-16;129.707509
2010-06-17;132.96688
2010-06-18;142.654474
2010-06-19;110.302189
2010-06-20;79.290934
2010-06-21;111.842259
2010-06-22;135.320788
2010-06-23;129.764198
2010-06-24;121.476485
2010-06-25;134.528621
2010-06-26;104.226384
2010-06-27;79.586481
2010-06-28;128.836731
2010-06-29;126.515359
2010-06-30;131.960041
2010-07-01;142.247678
2010-07-02;169.510699
2010-07-03;121.992091
2010-07-04;100.000711
2010-07-05;139.689856
2010-07-06;131.376349
2010-07-07;155.793441
2010-07-08;152.735959
2010-07-09;164.491781
2010-07-10;120.093313
2010-07-11;106.182421
2010-07-12;143.257641
2010-07-13;183.609148
2010-07-14;188.037365
2010-07-15;176.352448
2010-07-16;187.080334
2010-07-17;137.62832
2010-07-18;88.20589
2010-07-19;127.634154
2010-07-20;201.328568
2010-07-21;186.109923
2010-07-22;202.385293
2010-07-23;208.164691
2010-07-24;129.254327
2010-07-25;100.132048
2010-07-26;111.190223
2010-07-27;137.446835
2010-07-28;211.176763
2010-07-29;129.477816
2010-07-30;116.208054
2010-07-31;142.737426
2010-08-01;117.45
2010-08-02;159.47544
2010-08-03;143.437083
2010-08-04;151.306682
2010-08-05;152.820758
2010-08-06;135.579255
2010-08-07;144.942119
2010-08-08;119.888371
2010-08-09;118.306501
2010-08-10;109.656701
2010-08-11;115.34684
2010-08-12;118.050046
2010-08-13;111.413571
2010-08-14;145.685991
2010-08-15;88.605041
2010-08-16;107.086288
2010-08-17;111.785184
2010-08-18;109.13075
2010-08-19;120.515396
2010-08-20;115.021541
2010-08-21;131.715343
2010-08-22;117.439898
2010-08-23;182.204862
2010-08-24;184.017686
2010-08-25;182.052075
2010-08-26;181.48213
2010-08-27;184.160128
2010-08-28;122.377454
2010-08-29;118.064885
2010-08-30;169.74
2010-08-31;206.01
2010-09-01;199.239396
2010-09-02;199.960024
2010-09-03;183.503207
2010-09-04;135.226029
2010-09-05;118.043212
2010-09-06;134.121651
2010-09-07;135.411695
2010-09-08;150.549539
2010-09-09;165.354818
2010-09-10;157.8523
2010-09-11;137.514346
2010-09-12;130.887429
2010-09-13;150.32528
2010-09-14;163.338734
2010-09-15;152.339119
2010-09-16;145.866978
2010-09-17;154.607292
2010-09-18;137.804142
2010-09-19;112.495563
2010-09-20;136.448521
2010-09-21;139.708144
2010-09-22;204.444179
2010-09-23;140.244514
2010-09-24;135.655281
2010-09-25;131.208806
2010-09-26;115.254805
2010-09-27;130.253684
2010-09-28;135.409733
2010-09-29;129.565678
2010-09-30;137.215601
2010-10-01;126.366487
2010-10-02;130.593334
2010-10-03;98.204012
2010-10-04;143.560108
2010-10-05;141.861622
2010-10-06;184.102662
2010-10-07;136.815822
2010-10-08;139.813922
2010-10-09;120.77316
2010-10-10;93.745553
2010-10-11;125.086075
2010-10-12;139.312889
2010-10-13;131.077232
2010-10-14;129.989777
2010-10-15;132.892545
2010-10-16;112.398557
2010-10-17;118.123289
2010-10-18;169.423686
2010-10-19;154.547935
2010-10-20;168.489506
2010-10-21;170.859139
2010-10-22;159.783691
2010-10-23;131.505391
2010-10-24;110.566333
2010-10-25;142.913445
2010-10-26;146.180208
2010-10-27;141.167553
2010-10-28;141.859976
2010-10-29;130.316368
2010-10-30;154.349531
2010-10-31;107.271718
2010-11-01;96.286178
2010-11-02;199.309108
2010-11-03;118.268842
2010-11-04;114.377662
2010-11-05;121.933983
2010-11-06;116.678664
2010-11-07;94.555191
2010-11-08;124.135246
2010-11-09;127.449268
2010-11-10;125.614642
2010-11-11;120.055341
2010-11-12;121.137708
2010-11-13;113.692335
2010-11-14;102.501297
2010-11-15;128.308548
2010-11-16;128.34562
2010-11-17;128.228132
